,aNWP,aNSW,rSL,avWLiC,avWpS,aSN,SC,avNSyl,WV2,FRE,aNShort,language,.,!,?,",",-,of,is,the,class
56,1602,0.4076154806491885,160.24561403508773,4.586142322097379,28.105263157894736,57,7.3111726685133895,1.3957553058676655,0.44506866416978774,60.54778533412184,0.008114856429463172,10,0.2882882882882883,0.0,0.08108108108108109,0.481981981981982,0.14864864864864866,0.038077403245942575,0.016229712858926344,0.06803995006242197,1
57,3119,0.42385379929464573,116.98630136986301,4.375440846425136,21.363013698630137,146,2.475745918558829,1.3959602436678422,0.29656941327348507,67.08806475556358,0.01635139467778134,10,0.467966573816156,0.0,0.04178272980501393,0.40947075208913647,0.0807799442896936,0.03013786470022443,0.015710163513946777,0.04616864379608849,1
58,2842,0.4099225897255454,128.1209677419355,4.4912033779028855,22.919354838709676,124,2.9656607700312176,1.4035890218156228,0.3469387755102041,64.94282036730155,0.02076002814919071,10,0.45723684210526316,0.0,0.02631578947368421,0.4934210526315789,0.023026315789473683,0.02744546094299789,0.015833919774806474,0.06685432793807178,1
59,1943,0.39629439011837364,152.13698630136986,4.630468347915595,26.616438356164384,73,3.030587352223682,1.4410705095213587,0.4107050952135873,58.099407497232804,0.01080802882141019,10,0.45789473684210524,0.005263157894736842,0.031578947368421054,0.4473684210526316,0.05789473684210526,0.03088008234688626,0.007720020586721565,0.04734945959855893,3
60,3342,0.3812088569718731,140.73722627737226,4.654997007779772,24.394160583941606,137,3.5671053332622944,1.4389587073608618,0.3417115499700778,60.45756051055577,0.02154398563734291,10,0.40568475452196384,0.002583979328165375,0.03617571059431524,0.4470284237726098,0.10852713178294573,0.027827648114901255,0.01286654697785757,0.042788749251944945,3
61,2240,0.3982142857142857,153.90123456790124,4.5026785714285715,27.65432098765432,81,2.096631611034903,1.3888392857142857,0.2941964285714285,61.307653218694895,0.007142857142857143,10,0.5524861878453039,0.0,0.0055248618784530384,0.4198895027624309,0.022099447513812154,0.029464285714285714,0.008928571428571428,0.084375,1
62,3891,0.37985093806219483,128.2108108108108,4.979953739398612,21.032432432432433,185,3.092476260043828,1.5797995373939862,0.3821639681315857,51.94028346079311,0.012593163711128244,10,0.4061224489795918,0.0,0.04081632653061224,0.44081632653061226,0.11224489795918367,0.03341043433564636,0.014906193780519147,0.05833975841685942,2
63,2681,0.38716896680343155,156.46391752577318,4.554643789630735,27.63917525773196,97,1.7616112232968433,1.4147706079820963,0.34576650503543455,59.227674605951776,0.03356956359567326,10,0.5294117647058824,0.00784313725490196,0.00784313725490196,0.2549019607843137,0.2,0.018276762402088774,0.010070869078701977,0.05333830660201418,1
64,3033,0.3969666996373228,128.13333333333333,4.564787339268052,22.466666666666665,135,3.841975308641975,1.427959116386416,0.36993076162215627,63.29365875370922,0.021101219914276294,10,0.37789203084832906,0.005141388174807198,0.02570694087403599,0.46272493573264784,0.12853470437017994,0.019782393669634024,0.012199142762940983,0.03956478733926805,1
65,3041,0.3784939164748438,74.50214592274678,4.631042420256494,13.051502145922747,233,0.6825692129160603,1.4472213087800065,0.32324893127260773,71.2007210540355,0.017428477474514963,10,0.6709844559585493,0.0,0.04404145077720207,0.24870466321243523,0.03626943005181347,0.018414995067412034,0.011180532719500164,0.039460703715882936,1
66,1580,0.37468354430379747,120.27631578947368,4.620253164556962,20.789473684210527,76,3.786357340720221,1.4436708860759493,0.4493670886075949,63.77274566955366,0.035443037974683546,10,0.4691358024691358,0.00411522633744856,0.01646090534979424,0.37037037037037035,0.13991769547325103,0.026582278481012658,0.008227848101265823,0.046202531645569624,2
67,4482,0.39468987059348504,119.96713615023474,4.6146809460062475,21.04225352112676,213,1.5879565341973596,1.4484605087014726,0.2896028558679161,63.00883251315121,0.01896474788041053,10,0.5184331797235023,0.0,0.041474654377880185,0.3824884792626728,0.0576036866359447,0.023650156180276664,0.016287371709058456,0.05243195002231147,2
68,2177,0.3987138263665595,102.5,4.532843362425356,18.141666666666666,120,2.383125,1.406982085438677,0.3899862195682131,69.48356557188794,0.009186954524575103,10,0.43010752688172044,0.017921146953405017,0.07885304659498207,0.44086021505376344,0.03225806451612903,0.014699127239320165,0.01607717041800643,0.03628847037207166,2
69,1803,0.3771491957848031,114.53260869565217,4.7060454797559625,19.597826086956523,92,3.585184310018904,1.4653355518580145,0.3471991125901276,62.997884051942435,0.02384914032168608,10,0.45098039215686275,0.0,0.0,0.4666666666666667,0.08235294117647059,0.03050471436494731,0.012201885745978924,0.07321131447587355,1
70,2952,0.3953252032520325,83.42639593908629,4.49559620596206,14.98477157360406,197,0.8088845370919117,1.4024390243902438,0.3147018970189702,73.02548594775291,0.018292682926829267,10,0.6483180428134556,0.0,0.01834862385321101,0.29357798165137616,0.039755351681957186,0.022357723577235773,0.018292682926829267,0.059959349593495935,1
71,2807,0.4014962593516209,136.7563025210084,4.67296045600285,23.58823529411765,119,4.262975778546713,1.4552903455646597,0.37727110794442464,59.86920147111216,0.019593872461702886,10,0.3760932944606414,0.0,0.023323615160349854,0.5131195335276968,0.08746355685131195,0.029568934805842537,0.014962593516209476,0.06911293195582473,1
72,1772,0.4040632054176072,97.61386138613861,4.442437923250564,17.544554455445546,101,1.9331438094304478,1.3888261851015802,0.3989841986455982,71.62302751268356,0.02652370203160271,10,0.5,0.004310344827586207,0.08620689655172414,0.36637931034482757,0.04310344827586207,0.02708803611738149,0.015237020316027089,0.04683972911963882,3
73,3196,0.3667083854818523,175.71028037383178,4.783479349186483,29.869158878504674,107,5.213119049698664,1.524718397997497,0.33667083854818525,47.640459043430454,0.004693366708385482,10,0.33043478260869563,0.0,0.020289855072463767,0.5014492753623189,0.14782608695652175,0.030037546933667083,0.012202753441802253,0.057571964956195244,2
74,1201,0.37635303913405493,180.23076923076923,4.751040799333889,30.794871794871796,39,5.506245890861275,1.523730224812656,0.39633638634471274,46.74870503213137,0.01665278934221482,10,0.352,0.0,0.008,0.536,0.104,0.018318068276436304,0.013322231473771857,0.05328892589508743,2
75,1962,0.38481141692150866,209.5,4.685015290519877,36.333333333333336,54,4.949245541838135,1.45565749235474,0.41182466870540263,46.958413183826046,0.0056065239551478085,10,0.3902439024390244,0.006097560975609756,0.012195121951219513,0.5365853658536586,0.054878048780487805,0.02854230377166157,0.014780835881753314,0.05147808358817533,3
76,1774,0.40135287485907556,215.79166666666666,4.753100338218715,36.958333333333336,48,6.125,1.5343855693348365,0.3906426155580609,39.70358500093951,0.0062006764374295375,10,0.4166666666666667,0.0,0.0,0.5,0.08333333333333333,0.03720405862457723,0.015783540022547914,0.05411499436302142,1
